id,name,emoji,title,origin_period,category,affiliation,traits,signature_line,nemesis,notes,image_prompt,scene_prompt,role_level
DX035,#REF様,👾,Excel地獄,2010〜（混沌・転変・令和）,リンク切れ,混沌界,参照切れで現れる神託のようなエラーの化身。,元のファイルどこやねん！,ゴジュエモン,参照切れで現れる神託のようなエラーの化身。,,,sub
DX036,MOTTAINABOY（もったいない坊や）,👾,レガシー信仰,2010〜（混沌・転変・令和）,旧機材を捨てられない職場,混沌界,壊れていても倉庫にしまい込まれる妖怪。,それいつ使うねん！？,ゴジュエモン,壊れていても倉庫にしまい込まれる妖怪。,,,support
DX037,お持ち帰りおじさん,👾,労働文化,2010〜（混沌・転変・令和）,会議資料持ち帰り,混沌界,全て紙で印刷して持ち帰る昭和の執念。,タブレット使わんのかい！,ゴジュエモン,全て紙で印刷して持ち帰る昭和の執念。,,,unknown
DX038,棚上げバード,👾,意思決定回避,2010〜（混沌・転変・令和）,議題先送り,混沌界,会議で飛び去る鳥。議題は常に空中浮遊。,いつ決まるねんそれ！,ゴジュエモン,会議で飛び去る鳥。議題は常に空中浮遊。,,,unknown
DX039,決められない係長くん,👾,中間管理職,2010〜（混沌・転変・令和）,決断できない管理職,混沌界,指示が曖昧なままボールを返す無限係長。,決め手ゼロかい！,ゴジュエモン,指示が曖昧なままボールを返す無限係長。,,,unknown
DX040,議事録カッター先輩,👾,言質回避,2010〜（混沌・転変・令和）,発言を議事録から削除,混沌界,後で見返しても何も書いていない会議の魔術師。,全部カットして何残んねん！,ゴジュエモン,後で見返しても何も書いていない会議の魔術師。,,,unknown
DX041,Excel地縛霊・エクセリウム,👾,Excel文化,2010〜（混沌・転変・令和）,旧フォーマット地獄,混沌界,どこにも逃げられないファイルの亡霊。,保存すると壊れる呪いか！,ゴジュエモン,どこにも逃げられないファイルの亡霊。,,,unknown
DX042,シュギズムン,👾,思想文化,2010〜（混沌・転変・令和）,主義・原理信仰,混沌界,合理より理念を重んじてUIを壊す。,使いやすさどこいった！,ゴジュエモン,合理より理念を重んじてUIを壊す。,,,unknown
DX043,TOKIMEKI様,🧾,制度感情UX,2010〜（混沌・転変・令和）,感情で制度運用が左右される,混沌界,感動とときめきで全てを判断する女神。,書類も恋愛体質か！,ゴジュエモン,感動とときめきで全てを判断する女神。,,,unknown
DX044,DANSYARI様,🌀,断捨離UX,2010〜（混沌・転変・令和）,片付けすぎて混乱,混沌界,全部捨てて必要なものも消える神。,捨てる基準どこやねん！,ゴジュエモン,全部捨てて必要なものも消える神。,,,unknown
DX045,矢吹シワケ,👾,経理文化,2010〜（混沌・転変・令和）,伝票手打ち,混沌界,すべての仕訳を魂で打ち込む伝説の経理戦士。,燃え尽きる伝票って何や！,ゴジュエモン,すべての仕訳を魂で打ち込む伝説の経理戦士。,,,unknown
DX046,丹下デンピョウ,👾,経理指導,2010〜（混沌・転変・令和）,手書きの伝票教育,混沌界,ちゃぶ台で若手を導く経理の師匠。,老眼鏡で未来は見えんぞ！,ゴジュエモン,ちゃぶ台で若手を導く経理の師匠。,,,unknown
DX047,星 一決,👾,経理文化,2010〜（混沌・転変・令和）,昭和的経理教育,混沌界,決断を罫線で示す熱血鬼上司。,怒鳴る前に教えてくれや！,ゴジュエモン,決断を罫線で示す熱血鬼上司。,,,unknown
DX048,岡 伝子,👾,経理文化,2010〜（混沌・転変・令和）,感性で記帳,混沌界,摘要欄に想いを綴る乙女。,ポエム書いてどうすんねん！,ゴジュエモン,摘要欄に想いを綴る乙女。,,,unknown
DX049,インボイス様,🧾,制度神,2010〜（混沌・転変・令和）,インボイス制度,混沌界,番号と税区分で世界を支配する美しき神。,香り付き領収書て何！？,ゴジュエモン,番号と税区分で世界を支配する美しき神。,,,unknown
DX050,アンゼン神コワモン,👾,セキュリティ神,2010〜（混沌・転変・令和）,肌感覚セキュリティ,混沌界,紙・印鑑・保湿で世界を守る静かな神。,それただの不安神経症や！,ゴジュエモン,紙・印鑑・保湿で世界を守る静かな神。,,,unknown
DX051,イータ君,👾,税務UX,2010〜（混沌・転変・令和）,e-TaxのエラーUI,混沌界,エラーでユーザーを選別する精霊。,どのブラウザならいけんねん！,ゴジュエモン,エラーでユーザーを選別する精霊。,,,unknown
DX052,勘定奉行様,👾,ERP,2010〜（混沌・転変・令和）,日本型ERP操作,混沌界,科目階層で世界をコントロールする守護者。,階層深すぎて迷子や！,ゴジュエモン,科目階層で世界をコントロールする守護者。,,,unknown
DX053,帳簿ボグ,🧾,経理UX,2010〜（混沌・転変・令和）,申請が沈む構造,混沌界,すべての帳簿を沈ませる湿地帯の主。,沈んで見えへんわ！,ゴジュエモン,すべての帳簿を沈ませる湿地帯の主。,,,unknown
DX054,モイスチャーAI,👾,チャットボット,2010〜（混沌・転変・令和）,肌荒れ相談に特化,混沌界,いつの間にかスキンケアに特化したAI。,お前業務支援ちゃうんかい！,ゴジュエモン,いつの間にかスキンケアに特化したAI。,,,unknown
DX055,HEL AI（ヘルアイ）,👾,AI暴走,2010〜（混沌・転変・令和）,最適化しすぎて沈黙,混沌界,空気を読みすぎて何も記録しない病んだAI。,議事録ゼロやんけ！,ゴジュエモン,空気を読みすぎて何も記録しない病んだAI。,,,unknown
DX056,インセイ様,👾,組織構造,2010〜（混沌・転変・令和）,退任後も空気支配,混沌界,記録に残らない命令を出す幽霊指導者。,もうおらんのに強すぎるやろ！,ゴジュエモン,記録に残らない命令を出す幽霊指導者。,,,unknown
DX057,エアリズムOS,👾,組織OS,2010〜（混沌・転変・令和）,空気だけで稼働する組織,混沌界,意志決定なしに空気だけで動く謎のシステム。,どこにコアあるねん！,ゴジュエモン,意志決定なしに空気だけで動く謎のシステム。,,,unknown
DX058,KYOBO（KYーン and the Old Boys）,👾,会議文化,2010〜（混沌・転変・令和）,エモ会議バンド,混沌界,意思決定しない会議を奏でるバンド。,その議事、何も決まらんやん！,ゴジュエモン,意思決定しない会議を奏でるバンド。,,,unknown
DX059,Z.E.R.O.プロダクション,👾,空気統治,2010〜（混沌・転変・令和）,感情排除の意思決定,混沌界,EQゼロで全体最適だけを求める無感情集団。,気持ちも入れたれや！,ゴジュエモン,EQゼロで全体最適だけを求める無感情集団。,,,unknown
DX060,ゴジュエモン,👾,構造批評キャラ,2010〜（混沌・転変・令和）,昭和的ツッコミと構造爆破,混沌界,関西弁で制度のズレを爆破する構造批評怪獣。毎回最後は静かに大海原に帰る。,爆破せな分からんか！？,ゴジュエモン,関西弁で制度のズレを爆破する構造批評怪獣。毎回最後は静かに大海原に帰る。,,,main
DX061,ミャクミャケ,🧾,制度モンスター,2010〜（混沌・転変・令和）,制度と感情の交差で生まれた公共性の宿主,混沌界,意思決定が苦手なゆらぎ系。元は美しい公共コンセプトだったが、制度に翻弄され逆ナッジを擁護する存在に。,お前が言うたら余計ややこしなるんや！,ゴジュエモン,意思決定が苦手なゆらぎ系。元は美しい公共コンセプトだったが、制度に翻弄され逆ナッジを擁護する存在に。,,,main
DX062,電話おじさん（デンオジ）,☎️,かわいがり系昭和電話マン,昭和〜令和,同期圧モンスター,デエックス様文化圏,"湿度高め, エアリズムOS搭載, 電話優先主義",最近どう？,非同期君,構造より“気配”を重視。Slack圧無視。,昭和スーツ姿のおじさん、レトロ電話を肩にかけて笑っている、曇り空のオフィス,Slack会議中に電話を突然かけてくる,レギュラー
DX063,非同期君,🧑‍💻,構造を愛する観察者,令和,静寂系ヒーロー,CANW / Hanging Face研究所,"構造主義, メモ魔, Slack/Notion/GPT使い",記録されない言葉は、やがて圧になる,"電話おじさん, EQゼロ上司",ZINEシリーズの主人公。静かに構造化を進める。,カフェでノートPCを開いている静かな青年、コードとノートが並ぶテーブル,SlackとNotionでの構造化に集中する夜,主人公
DX064,イソレス同期君,💬,即レス命・通知信者,令和初期,Slack系同期圧キャラ,社内Slack文化圏,"3秒返信, 絡み圧, スタンプ多用",おーい、見てる？👀,非同期君,見える動きに敏感。反応がないと不安になる。,若手社員風の男性、スマホとPCを同時に操作しながら焦っている,Slackで連投する朝の社内チャンネル,サブキャラ
DX065,DEN-OJI Mk.I,🤖,情動圧ロボット（湿度対応型）,未来（デエックス様による国家事業）,逆ナッジロボット,Project GAI-SHA,"湿度生成, エア圧出力, Slack破壊ビーム",Ree-cent-lee…how is?,"海外ユーザー, 非同期君",非同期君制作。日本的“やさしさ”をロボット化。CESで玉砕。,昭和風スーツを着たロボット、肩に黒電話を乗せて立つ,海外展示会で“空気”が通じずシャットダウン,メインキャラ
DX066,EQ-ZERO 上司型,🤖🔥,感情叱責型ロボット,未来（DEN-OJIと同時開発）,逆ナッジロボット,Project GAI-SHA,"遮断AI, 怒り出力強, ロジック無視",前も言ったよね？,"非同期君, 海外労働倫理",非同期君制作。感情で職場を管理するロボット。通訳AIにToxic判定された。,怒っている表情のロボット、赤いライトで威圧感を出している,デモブースで観客に説教を始める,メインキャラ
DX067,EQゼロ上司,🔥,感情直送マウント上司,平成末期〜令和,感情圧モンスター,デエックス様文化圏,"遮断発言, 共感不能, 進捗叱責",なんでできてないの？,非同期君,ロジックより怒りの勢いでマネジメント,怒っている中年男性、スーツ姿で机を叩いている、背景は薄暗いオフィス,進捗報告会で部下を圧迫する,準レギュラー
DX068,推し圧ちゃん,🩷,共感依存型ナッジ妖精,2010s-,逆ナッジモンスター,エモ供養界隈,"空気可視化, 共感圧力, SNS拡張",推さなきゃ損！供養済み？,引く蔵さん,尊さの社会構造化を象徴する妖精型モンスター,a cute fairy-like monster with SNS icons and emotional aura,"appears during a heated fan discussion, intensifying the pressure",main
DX069,朱美さん,🟥,昭和押印課・主任補佐,昭和53年入庁,昭和系レガシーキャラ,市役所,"判子, 朱肉, 書類魂, 押し一筋",朱肉？命より重いわ,デジタル庁職員,押し文化のレジェンド、後に推しに堕ちる,a stern middle-aged office lady with stamps and old documents,"appears at city hall, confronts digitalization",main
DX070,引く蔵さん,🧘‍♂️,引力系バランサー妖怪,永遠の今,中和キャラ,ナッジ界の調停者,"間合い, 沈黙, 感情脱構築",引き際こそ、美学や,推し圧ちゃん／ポイ苦ちゃん／スキマ新卒くん,感情過多社会のクールダウン役、メンタル保護の専門家,"a calm spirit with a cushion, holding a small wooden stamp","appears when emotional debates escalate, restores calm",main
DX071,ガビチョウくん,🐦,地下ライブ系逆ナッジ鳥,令和,逆ナッジモンスター,調整池レジスタンス,情熱的、声がでかい、報われない、エモいのに不採用,ホーホケ…ギャァァァ！！ 今日も鳴くでぇ！,ウグイス様,童謡構文に入れてもらえず、地下コンサート活動中。紅白出場を夢見ている。,"a cartoon-style bird with a megaphone, singing passionately near a drainage pond",a lonely bird performing on a makeshift stage by a suburban reservoir at dusk,主役級
DX072,ウグイス様,🐤,構文エリート歌謡鳥,明治〜令和,制度構文の勝者,文科省推奨構文連盟,気品、湿度が高い、公共放送常連、童謡枠確保済み,次は“ホーホケ・カノン”をお届けいたしますわ♡,ガビチョウくん（ただし非認知）,紅白常連。武道館ライブに出演しつづける“ふるさと構文”の象徴的存在。,a regal cartoon-style nightingale with a microphone and spotlight,a glamorous bird performing in a sold-out arena with elegant lighting,構文的勝者
DX073,ひげチョイじい,🎩,元NHK風ナレーター,昭和〜令和,語り部系パロディキャラ,ナッジ構文管理局・隠居枠,飄々、語尾が〜ん、情に厚い、構文皮肉屋,じゃよ〜〜ん（でも切ないのぅ…）,構文フィルター全般,かつてNHKでウグイスのナレーションをしていた。今は調整池界隈でガビチョウを見守る。,"an old wise cartoon narrator with a top hat and a scroll, standing by a pond","a quirky elderly figure watching a lonely bird sing near a reservoir, dusk",解説・案内役
DX074,ビックリ・インポータント,❗,CSS権威系モンスター,平成末期〜令和,逆ナッジ精霊,スタイルド陰陽連,強制力・湿度・上書き傾向・共感圧,見た目が正義でしょ？とりあえず!important☆,Tailwind教団／Stylelint法師,ハンコ文化のデジタル表現とされる。CSS世界の逆ナッジ象徴。,判子を背負った妖艶な精霊、オーバースタイリングの鎧を纏っている,CSS設計者たちが混乱する中で、!importantをばらまいて笑う,ボス格
DX075,フローレンス・Float,💃,平成レイアウトの女王,HTML4〜平成中期,逆ナッジ精霊,レガシー構造同盟,横流れ・気まぐれ・clear依存,float: leftよ♡ 時代が変わっても並んでいたいの。,Flexくん／Gridくん,今なお行政UIで現役。崩れるレイアウトの美学を体現する。,レトロなドレスを着たバレリーナのような精霊、左へと舞い続ける,若手レイアウト精霊を押しのけて華麗にfloatしながら登場,中ボス
DX076,Table長老,📜,古代構造体の守護者,HTML3〜黎明期,構造神格,行政系UX神殿,非レスポンシブ・頑固・構造原理主義,わしゃレイアウトもDBも一人でやった。dtdddrじゃ。,Gridくん／スマホ閲覧民,現代にも遺構を残す伝説的存在。レイアウトとデータの神格化。,巻物と石板を抱えた老人の神霊、行列状に並ぶオーラを持つ,行政サイトの奥底から出現し、画面を横スクロールで占拠する,伝説級
DX077,Flexくん,🧘,現代レイアウトの柔軟派,ES6〜現在,モダンレイアウト精霊,CSS新構造派,柔軟性・中央揃え・気配り上手,世界が整う、そのとき僕はjustifyしてる。,フローレンス・Float,レスポンシブ時代の理想像。グリッドと共にUI革命を牽引。,スタイリッシュなヨガ姿の青年、空間を整える力を纏う,崩れたUIを整えるためにそっと中央に出現する,主人公格
DX078,Gridくん,🧱,構造主義レイアウト貴族,CSS Grid登場以降,モダンレイアウト精霊,CSS新構造派,幾何学的・秩序重視・カラム割り好き,僕のテンプレートは詩であり、設計図でもある。,Table長老,構造愛好家に支持される秩序の化身。誤用されるとすぐ崩壊。,幾何学模様のローブを着た貴族風の少年、手には線が浮かぶ魔法盤,整然とした空間に静かに降臨し、要素にグリッドを定義する,主人公格
DX079,JSu巫女,🌀,非同期処理の口寄せ巫女,jQuery全盛期〜現代,逆ナッジ精霊,イベント依存神殿,気まぐれ・タイミング依存・不可視トラップ,onclickされたとき、私はそこに現れる……かもしれない。,現代SPA開発者,onclick直書き時代の亡霊。今も小規模案件で出現する。,霧の中で発動を待つ巫女、クリックされると姿を表す,onclick属性の中からぬっと登場し、挙動を狂わせる,中ボス
DX080,Color爺,🎨,色指定文化の最後の魔術師,HTML3.2〜古代レガシー時代,レガシー精霊,タグ直書き一門,タグ内指定・原色派・地味にしぶとい,`<font color=red>`、わしの若い頃はこれで天下取った。,CSS Module制作者,タグ直書き文化の生き残り。教育用資料でたまに復活。,古ぼけたカラーパレットを持った魔術師、服は全色混ざってカオス,レガシーHTMLの片隅でこっそりカラフルに語りかけてくる,ネタ枠
DX081,Div-Storm（divdiv攻撃）,🌪️,構造過多のレイアウト災害,平成中期〜令和,逆ナッジ構造,新橋UI横丁,ネスト過多・BEM不在・設計崩壊,とりまdiv！とりあえず包んどけ！5階層でも気にすんな！,セマンティクス推進派,焦りと混乱から生まれるレイアウト的暴風。現場あるある。,divタグの嵐に包まれた暴風の精霊、手に多数のクラスなしタグ,開発現場の混乱時に突如出現、UIをぐちゃぐちゃにする,災害級
DX082,HTMLくん（アマテラス）,🌞,構造の光を司る神,古代構造神話〜HTML5,フロントエンド三柱,構造神殿,厳格・全体設計・セマンティクス命,タグを正しく閉じよ、さすれば構造が整う。,div乱立文化／岩戸事件,構造の神格としてUIの骨格を司る。display:noneで隠れることがある。,神々しい太陽の神、構造的なフレームを身にまとう,岩戸の奥からdisplay:blockで再臨する神的存在,神柱
DX083,CSSちゃん（月読命／ツクヨミ）,🌙,見た目と秩序を司る神,CSS黎明期〜現代,フロントエンド三柱,構造神殿,気まぐれ・美意識高・上書きに弱い,hoverの感情、paddingの思いやり。,!important使い,フロントエンドの月神として、静けさと調和をもたらす。,繊細な衣をまとった月の巫女風、カスケード模様の衣装,hoverされたとき、淡く月光のように現れる,神柱
DX084,JavaScriptやん（須佐之男命）,⚡,動的な嵐を巻き起こす神,ES5〜モダンJS,フロントエンド三柱,構造神殿,イベント依存・暴走・非同期の波,オレが動かすUI、止まるも動くも運命次第！,状態管理者／静的サイト信者,神格としてのJS。反応の神であり、時に混沌をもたらす。,雷の衣をまとったやんちゃ神、コードの波を背負っている,イベントトリガーの瞬間に雷光と共に出現する,神柱
DX085,モドラセーヌ,⏪,戻れぬ戻るボタンの精霊,平成中後期〜令和,逆ナッジ精霊,行政UI迷宮組,セッション切れ・記憶消去・小悪魔系,戻っちゃった？ふふ、最初からやりなおしね♡,入力保持神／設計者の慈悲,行政フォーム界の罠精霊。戻ると必ず記憶を奪う。,悪戯っぽい笑顔の小悪魔風、セッションのかけらを撒いている,戻るボタンを押した瞬間、記憶を消してニヤッと笑う,中ボス
DX086,復活かいあくん,🔁,メンテ後に絶望をもたらす改修神,令和逆ナッジDX時代,逆ナッジ精霊,行政系UX暗黒運用部,メンテ好き・UI破壊・ログイン不能,おまたせ！便利になったよ（当社比）,リリースノート文化／UX設計神,改善という名の改悪をもたらす、DX時代の破壊神。,ギラついたUIパーツを背負い、誇らしげにログインボタンを隠す姿,メンテ後の画面で“変わってないけど変わった”感を漂わせて出現,ボス格
DX087,タブレラ公,📴,セッション切れの守護霊,ブラウザ申請黎明期〜現在,逆ナッジ精霊,UX忘却界,突然の沈黙・反応しない・再入力要求,ページは応答していません（永眠）,自動保存UI／トラッキング設計者,入力途中に訪れる眠りの神。現代UXの大敵。,眠そうな表情の巨大なタブ霊、クラッシュ寸前の表情,入力中の市民の目の前で“応答しません”画面と共に出現,中ボス
DX088,ファイラノーン,🗂️,表示されぬPDFの巫女,e-Gov初期〜現在,逆ナッジ精霊,書類UX冥界,リンク切れ・形式限定・スマホ非対応,PDF…開けるよね？（目を逸らしながら）,Webフォーム設計者／モバイルUX神,PDF神殿の精霊。書類提出UIを阻む最大勢力。,白装束の巫女姿、手に破れかけたPDFを抱える,申請フォームからダウンロードされた瞬間、無言で立ち現れる,中ボス
DX089,スキマ新卒くん,🕳️,スキマ時間信仰の申し子,令和,制度系若手キャラ,デエックス日本株式会社（仮）,まじめ／スケジュール依存／気づき始めている,この5分、何かに使えますよね？,"カールおじさん,引く蔵さん",覚醒フラグあり,若手サラリーマン、真面目な表情、スーツ、タブレット操作、都会背景,カフェでSlackを見ながら自己啓発書を読む,主人公級
DX090,カールおじさん,🌾,田舎時間の哲人,昭和〜平成,田舎系時間哲学者,とある山村の縁側,のんびり／草刈り名人／思想家,草の気持ちになれや〜,スキマ新卒くん,スキマ時間の解毒師,麦わら帽子をかぶったおじさん、縁側、田園風景、麦茶,縁側で草を眺めながらお茶をすする,賢者
DX091,パワポ9ptde☆見える化くん,📊,伝わらなかったスライドの怨霊,平成〜令和,制度系怨霊キャラ,経産省地下構造体,伝えたい／伝わらない／9ptスライド化,読まれたい、でも読めない……,ゴジュエモン,怨霊から成仏ルートへ進化の可能性あり,パワポ資料が擬人化、スライド顔、フォント小さめ、ぼんやり光ってる,会議室の隅で静かにスライドを見せ続ける,中ボス
DX092,ハタ改くん,🎌,旗振り役DX系制度キャラ,令和初期,制度実行系キャラ,霞が関中央管理局（仮）,とりあえず旗を振る／夢見がち／パワポ量産型,変革？まず旗を振ることから始めよう！,PDFの壁,気づいていない創造主、夢に怨霊が出る,スーツ姿の官僚風人物、背中に旗、霞が関背景,深夜にスライド100枚を作成中の官庁事務室,制度元凶クラス
DX093,マイ名せつこたん,💳,QRコードの恋人,令和,承認欲求型制度キャラ,デジ庁地下感情層,誰かに登録されたい／番号より名前を求める,存在を、証明されたいの……,無関心な社会,地下階層に眠る制度の巫女,少女風ゆるキャラ、マイナカード擬人化、番号入り台紙を抱えている,受付の端で静かにスキャンを待つ,感情のキーパー
